2-conductor-18-gauge-mahogany-brown-rayon-twisted-wire,,active,W182RTMBXXL,By the 50-foot spool,,0,47.50,10.57,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-mahogany-brown-rayon-twisted-wire,,active,W182RTMBXXS,By the 250-foot spool,,0,175.00,48.87,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-pewter-rayon-twisted-wire,TRUE,active,W182RTPWXXF,By the foot,,45,1.50,0.18,$8.10,14.17476156,2-CONDUCTOR 18-GAUGE PEWTER RAYON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, new 09 19, new wire, no pattern, pewter wire, rayon, twisted pair, wire","<div id=""product-detail"">
<p>This is an <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in pewter <span class=""glossary-braid glossary-braid-name"">rayon braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-pewter-rayon-twisted-wire,,active,W182RTPWXXL,By the 50-foot spool,,0,47.50,10.57,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-pewter-rayon-twisted-wire,,active,W182RTPWXXS,By the 250-foot spool,,0,175.00,48.87,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-silver-rayon-twisted-wire,TRUE,active,W182RTSTXXF,By the foot,,36,1.50,0.18,$6.48,14.17476156,2-CONDUCTOR 18-GAUGE SILVER RAYON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, no pattern, rayon, silver wire, twisted pair, wire","<div id=""product-detail"">
<p>This is an <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in silver <span class=""glossary-braid glossary-braid-name"">rayon braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-silver-rayon-twisted-wire,,active,W182RTSTXXL,By the 50-foot spool,,0,47.50,10.57,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-silver-rayon-twisted-wire,,active,W182RTSTXXS,By the 250-foot spool,,0,175.00,48.87,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-walnut-brown-rayon-twisted-wire,TRUE,active,W182RTWBXXF,By the foot,,5,1.50,0.18,$0.90,14.17476156,2-CONDUCTOR 18-GAUGE WALNUT BROWN RAYON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, brown wire, historically accurate, no pattern, rayon, twisted pair, wire","<div id=""product-detail"">
<p>This is an <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in walnut brown <span class=""glossary-braid glossary-braid-name"">rayon braid</span>.</p>
<h2>Notes on the Color</h2>
<p>We have two brown rayon wires available, both named after the wood whose color they resemble. The walnut is an elegant brown which, like walnut wood, has a yellow cast to the brown. For an equally beautiful alternative, see our <a href=""/2-conductor18-gaugemahoganybrowntwistedrayonwire-bythespool.aspx""> mahogany wire</a>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter (+/- 0.5 mm):</strong> 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-walnut-brown-rayon-twisted-wire,,active,W182RTWBXXL,By the 50-foot spool,,0,47.50,10.57,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-walnut-brown-rayon-twisted-wire,,active,W182RTWBXXS,By the 250-foot spool,,0,175.00,48.87,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-white-rayon-twisted-wire,TRUE,active,W182RTWHXXF,By the foot,,18,1.50,0.18,$3.24,14.17476156,2-CONDUCTOR 18-GAUGE WHITE RAYON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, historically accurate, no pattern, rayon, twisted pair, white wire, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a white <span class=""glossary-braid glossary-braid-name"">rayon braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p>Approximate Diameter (+/- 0.5 mm): 6.4 mm, about 1/4 in<br>Made in: USA<br>Maximums: 600 Volts, 105 degrees Centigrade<br>UL: NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-white-rayon-twisted-wire,,active,W182RTWHXXL,By the 50-foot spool,,0,47.50,10.57,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-white-rayon-twisted-wire,,active,W182RTWHXXS,By the 250-foot spool,,0,175.00,48.87,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-cotton-heavy-duty-pulley-cord-ul-listed,TRUE,active,W183CJBKXXF,By the foot,,0,1.35,0.37,$0.00,31.18447544,3-CONDUCTOR 18-GAUGE BLACK COTTON HEAVY-DUTY PULLEY CORD - SJT-B UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, heavy pulley cord, historically accurate, pulley cord, solid, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the heavy-duty <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SJT-3 wire, which is three conductors with a jacket, covered in black <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SJT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2></h2>
<h2></h2>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SJT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong><span> (+/- 0.5 mm): 9.7 mm, about 3/8 in</span><br><strong>Made in:</strong><span> USA</span><br><strong>Maximums:</strong><span> 300 Volts, 105 degrees Centigrade </span><strong><br>Insulation Thickness:</strong><span> 30 mils</span><br><strong>Weight bearing rating:</strong><span> 56 lbs. per 1000 ft.</span><br><strong>UL:</strong><span> UL Listed, SJT-B</span></p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-cotton-heavy-duty-pulley-cord-ul-listed,,active,W183CJBKXXS,By the 100-foot spool,,0,115.00,38.36,$0.00,3331.182365,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-dark-brown-small-hounds-tooth-cotton-pulley-cord-ul-listed,TRUE,active,W183CPBDSHF,By the foot,,0,1.00,0.32,$0.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & DARK BROWN SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, brown wire, cotton, new 09 19, new wire, pulley cord, small hound's-tooth, wire","<div id=""product-detail"">
"
<p>This is a 3-<span id=""glossary"">conductor, 18-gauge</span> cord in the <span id=""glossary"">pulley cord</span> style. This wire is a round cord with SVT-3 wire, which is three conductors with a PVC jacket, covered in gray <span id=""glossary"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-dark-brown-small-hounds-tooth-cotton-pulley-cord-ul-listed"">2-conductor version.</a></p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-dark-brown-small-hounds-tooth-cotton-pulley-cord-ul-listed,,active,W183CPBDSHS,By the 100-foot spool,,0,89.00,33.25,$0.00,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-dark-brown-zig-zag-cotton-pulley-cord,TRUE,active,W183CPBDZZF,By the foot,,640,1.00,0.32,$204.80,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & DARK BROWN ZIG-ZAG COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, brown wire, cotton, pulley cord, wire, zig-zag","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and dark brown zig-zag pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the<span> </span><a href=""/products/2-conductor-18-gauge-black-and-dark-brown-zig-zag-cotton-pulley-cord"">2-conductor version.</a></p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-dark-brown-zig-zag-cotton-pulley-cord,,active,W183CPBDZZS,By the 100-foot spool,,6,89.00,33.25,$199.50,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-cotton-pulley-cord,TRUE,active,W183CPBKXXF,By the foot,,0,1.00,0.32,$0.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, no pattern, pulley cord, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a PVC jacket, then covered in black <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-cotton-pulley-cord,,active,W183CPBKXXS,By the 100-foot spool,,0,89.00,33.13,$0.00,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-light-brown-cotton-pulley-cord,TRUE,active,W183CPBNXXF,By the foot,,180,1.00,0.32,$57.60,22.6796185,3-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, brown wire, cotton, historically accurate, no pattern, pulley cord, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord with SVT-3 wire, which is three conductors with a jacket, covered in light brown <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-light-brown-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-light-brown-cotton-pulley-cord,,active,W183CPBNXXMNS,NON UL by the 100-foot spool,,14,89.00,33.25,$465.50,22.6796185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-light-brown-cotton-pulley-cord,,active,W183CPBNXXS,By the 100-foot spool,,2,89.00,33.25,$66.50,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-burnt-orange-cotton-pulley-cord,TRUE,active,W183CPBOXXF,By the foot,,240,1.00,0.32,$76.80,22.6796185,3-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, cotton, no pattern, orange wire, pulley cord, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a PVC jacket, covered in burnt orange <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-burnt-orange-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-burnt-orange-cotton-pulley-cord,,active,W183CPBOXXS,By the 100-foot spool,,1,89.00,33.25,$33.25,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-putty-small-hounds-tooth-cotton-pulley-cord,TRUE,active,W183CPBPSHF,By the foot,,70,1.00,0.32,$22.40,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, pulley cord, putty wire, small hound's-tooth, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord with SVT-3 wire, which is three conductors with a jacket, then covered in black and putty small hound's-tooth <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-putty-small-hounds-tooth-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-putty-small-hounds-tooth-cotton-pulley-cord,,active,W183CPBPSHS,By the 100-foot spool,,0,89.00,33.25,$0.00,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-putty-zig-zag-cotton-pulley-cord,TRUE,active,W183CPBPZZF,By the foot,,415,1.00,0.32,$132.80,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, pulley cord, putty wire, wire, zig-zag","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and putty zig-zag pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the<span> </span><a href=""/products/2-conductor-18-gauge-black-and-putty-zig-zag-cotton-pulley-cord"">2-conductor version</a></p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-putty-zig-zag-cotton-pulley-cord,,active,W183CPBPZZS,By the 100-foot spool,,4,89.00,33.25,$133.00,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-red-single-cross-tracer-cotton-pulley-cord,TRUE,active,W183CPBR1CF,By the foot,,275,1.00,0.32,$88.00,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">3-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-3 wire, which is three conductors with a jacket, covered in black and red single cross tracer pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 2 instead of 3 conductors, please see the <a href=""/products/2-conductor-18-gauge-black-and-red-single-cross-tracer-cotton-pulley-cord"">2-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b> PLEASE NOTE THAT, WHILE THIS CORD LOOKS LIKE CORD THAT WAS TYPICALLY USED ON IRONS AND TOASTERS AND OTHER HEAT-GENERATING APPLIANCES, IT IS <b>NOT</b> HEATER CORD. IT IS SVT-3 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7.3 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-single-cross-tracer-cotton-pulley-cord,,active,W183CPBR1CMNS,NON UL by the 100-foot spool,,7,89.00,33.25,$232.75,22.6796185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
3-conductor-18-gauge-black-and-red-single-cross-tracer-cotton-pulley-cord,,active,W183CPBR1CS,By the 100-foot spool,,2,89.00,33.25,$66.50,2494.758035,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
3-conductor-18-gauge-black-and-red-single-tracer-cotton-pulley-cord,TRUE,active,W183CPBR1TF,By the foot,,5,1.00,0.32,$1.60,22.6796185,3-CONDUCTOR 18-GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 3-conductor, black wire, cotton, historically accurate, pulley cord, tracer, wire","<div id=""product-detail"">
"
